Filename,Country,Vehicle,View,ViewType
Russia_Solntsepek_View4.jpg,Russia,Solntsepek,View4,Side/Profile
Russia_T-72B3_View1.jpg,Russia,T-72B3,View1,Side/Profile
Russia_T-72B3_View2.jpg,Russia,T-72B3,View2,Front/Back
Russia_T-72B3_View3.jpg,Russia,T-72B3,View3,Side/Profile
Russia_T-72B3_View4.jpg,Russia,T-72B3,View4,Top
Russia_T-80U_View1.jpg,Russia,T-80U,View1,Side/Profile
Russia_T-80U_View2.jpg,Russia,T-80U,View2,Front/Back
Russia_T-80U_View3.jpg,Russia,T-80U,View3,Top
Russia_T-80U_View4.jpg,Russia,T-80U,View4,Side/Profile
Russia_T-90A_View1.jpg,Russia,T-90A,View1,Side/Profile
Russia_T-90A_View2.jpg,Russia,T-90A,View2,Front/Back
Russia_T-90A_View3.jpg,Russia,T-90A,View3,Top
Russia_T-90A_View4.jpg,Russia,T-90A,View4,Side/Profile
Russia_Tigr_View1.jpg,Russia,Tigr,View1,Side/Profile
Russia_Tigr_View2.jpg,Russia,Tigr,View2,Side/Profile
Russia_Tigr_View3.jpg,Russia,Tigr,View3,Front/Back
Russia_Tigr_View4.jpg,Russia,Tigr,View4,Front/Back
Russia_Tunguska-M_View1.jpg,Russia,Tunguska-M,View1,Side/Profile
Russia_Tunguska-M_View2.jpg,Russia,Tunguska-M,View2,Side/Profile
Russia_Tunguska-M_View3.jpg,Russia,Tunguska-M,View3,Front/Back
Russia_Tunguska-M_View4.jpg,Russia,Tunguska-M,View4,Front/Back
Russia_Uragan_View1.jpg,Russia,Uragan,View1,Side/Profile
Russia_Uragan_View2.jpg,Russia,Uragan,View2,Side/Profile
Russia_Uragan_View3.jpg,Russia,Uragan,View3,Side/Profile
Russia_Uragan_View4.jpg,Russia,Uragan,View4,Front/Back
